[2020-07-20 17:38:28] Error text : Page not found | File : C:\OpenServer\domains\shop\vendor\ishop\core\Router.php | Line : 43 
[2020-07-20 17:48:12] Error text : Page not found | File : C:\OpenServer\domains\shop\app\controllers\ProductController.php | Line : 12 
[2020-07-20 17:52:07] Error text : Page not found | File : C:\OpenServer\domains\shop\vendor\ishop\core\Router.php | Line : 43 
[2020-07-20 18:36:25] Error text : syntax error, unexpected '}' | File : C:\OpenServer\domains\shop\app\controllers\ProductController.php | Line : 24 
[2020-07-20 18:36:35] Error text : syntax error, unexpected '}' | File : C:\OpenServer\domains\shop\app\controllers\ProductController.php | Line : 24 
[2020-07-20 19:59:08] Error text : Controller app\controllers\CategoryController not found | File : C:\OpenServer\domains\shop\vendor\ishop\core\Router.php | Line : 40 
[2020-07-20 20:08:02] Error text : Controller app\controllers\CartController not found | File : C:\OpenServer\domains\shop\vendor\ishop\core\Router.php | Line : 40 
[2020-07-20 20:17:51] Error text : SQLSTATE[42S22]: Column not found: 1054 Unknown column 'related.product.product_id' in 'where clause' | File : C:\OpenServer\domains\shop\vendor\gabordemooij\redbean\RedBeanPHP\Driver\RPDO.php | Line : 194 
[2020-07-20 20:24:43] Error text : Controller app\controllers\CartController not found | File : C:\OpenServer\domains\shop\vendor\ishop\core\Router.php | Line : 40 
[2020-07-20 20:24:50] Error text : Controller app\controllers\CartController not found | File : C:\OpenServer\domains\shop\vendor\ishop\core\Router.php | Line : 40 
[2020-07-21 13:10:44] Error text : Page not found | File : C:\OpenServer\domains\shop\vendor\ishop\core\Router.php | Line : 43 
[2020-07-21 15:05:37] Error text : Controller app\controllers\CategoryController not found | File : C:\OpenServer\domains\shop\vendor\ishop\core\Router.php | Line : 40 
[2020-07-21 15:41:47] Error text : Unsupported operand types | File : C:\OpenServer\domains\shop\app\views\Product\view.php | Line : 89 
[2020-07-21 15:41:47] Error text : Page not found | File : C:\OpenServer\domains\shop\vendor\ishop\core\Router.php | Line : 43 
[2020-07-21 15:41:49] Error text : Unsupported operand types | File : C:\OpenServer\domains\shop\app\views\Product\view.php | Line : 89 
[2020-07-21 15:41:49] Error text : Page not found | File : C:\OpenServer\domains\shop\vendor\ishop\core\Router.php | Line : 43 
[2020-07-21 15:42:15] Error text : Unsupported operand types | File : C:\OpenServer\domains\shop\app\views\Product\view.php | Line : 89 
[2020-07-21 15:42:15] Error text : Page not found | File : C:\OpenServer\domains\shop\vendor\ishop\core\Router.php | Line : 43 
[2020-07-21 15:44:00] Error text : Unsupported operand types | File : C:\OpenServer\domains\shop\app\views\Product\view.php | Line : 89 
[2020-07-21 15:44:00] Error text : Page not found | File : C:\OpenServer\domains\shop\vendor\ishop\core\Router.php | Line : 43 
[2020-07-21 17:57:57] Error text : View C:\OpenServer\domains\shop/app/views/Cart/add.php not found | File : C:\OpenServer\domains\shop\vendor\ishop\core\base\View.php | Line : 43 
[2020-07-21 17:58:07] Error text : View C:\OpenServer\domains\shop/app/views/Cart/add.php not found | File : C:\OpenServer\domains\shop\vendor\ishop\core\base\View.php | Line : 43 
[2020-07-21 17:58:09] Error text : View C:\OpenServer\domains\shop/app/views/Cart/add.php not found | File : C:\OpenServer\domains\shop\vendor\ishop\core\base\View.php | Line : 43 
[2020-07-21 20:00:46] Error text : Page not found | File : C:\OpenServer\domains\shop\vendor\ishop\core\Router.php | Line : 43 
